Standard Tax Suggestions Report

Status: Förslag från standardtaxor. Ej bekräftad kommun-EDP.
Total parser rows: 241
PROPOSAL: 0
REVIEW: 0
NO_SUGGESTION: 241
Warnings: 2

Details:
- NO_SUGGESTION score=0.119 | 2.1 | En- och tvåbostadshus | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.152 | 2.2.3 | Kostnad för öppning av behållare | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.092 | 2.2.4 | Kärl 240 l (mat-/restavfall) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.098 | 2.2.4 | Kärl 370 l (restavfall) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.098 | 2.2.4 | Kärl 660 l (restavfall) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.095 | 2.2.4 | Kärl 140 l (matavfall) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.440 | 2.2.4 | Kärl 190 l (förpackningar) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.440 | 2.2.4 | Kärl 370 l (förpackningar) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.440 | 2.2.4 | Kärl 660 l (förpackningar) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.104 | 2.2.4 | Kärl 190 l (tidningar och returpapper) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.104 | 2.2.4 | Kärl 370 l (tidningar och returpapper) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.267 | 2.2.4 | (mat-/restavfall, förpackningar) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.092 | 2.2.5 | Kärl 240 l (mat-/restavfall) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.098 | 2.2.5 | Kärl 370 l (restavfall) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.098 | 2.2.5 | Kärl 660 l (restavfall) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.095 | 2.2.5 | Kärl 140 l (matavfall) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.122 | 2.2.5 | Bottentömmande behållare (mat-/restavfall) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.126 | 2.2.5 | Lastväxlarflak (restavfall) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.092 | 2.2.6 | Kärl 240 l (mat-/restavfall) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.098 | 2.2.6 | Kärl 370 l (restavfall) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.098 | 2.2.6 | Kärl 660 l (restavfall) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.095 | 2.2.6 | Kärl 140 l (matavfall) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.122 | 2.2.6 | Bottentömmande behållare (mat-/restavfall) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.126 | 2.2.6 | Lastväxlarflak (restavfall) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.090 | 2.2.7 | Kärl 140 l (kontors-/returpapper) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.134 | 2.2.7 | Egen överlämning av förbrukat kontors-/returpapper enligt anvisning | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.142 | 2.2.7 | Egen överlämning av förbrukat matfett enligt anvisning | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.124 | 2.3 | Viktavgift matavfall | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.117 | 2.3 | Viktavgift restavfall | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.092 | 2.3 | Lyftavgift kärl | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.090 | 2.4.1 | Fakturavgift | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.112 | 2.4.2 | Delat kärl 240 l matavfall 40 kg | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.104 | 2.4.2 | Delat kärl 240 l restavfall 40 kg | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.117 | 2.4.2 | Extra kärl 140 l matavfall 60 kg | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.089 | 2.4.2 | Extra kärl 140-190 l restavfall 60 kg | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.109 | 2.4.2 | Kärl 370 l restavfall 60 kg | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.108 | 2.4.2 | Kärl 660 l restavfall 100 kg | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.111 | 2.4.3 | Överfullt kärl | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.120 | 2.4.3 | Överfull bottentömmande behållare | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.115 | 2.4.4 | Byte av trasigt kärl vid oaktsamhet | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.079 | 2.4.5 | Byte/återtag av kärl en (1) ggr/år 140–240 liter | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.079 | 2.4.5 | Byte/återtag av kärl en (1) ggr/år 370–660 liter | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.099 | 2.4.5 | Ytterligare byte av kärl under kalenderåret | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.074 | 2.4.6 | Kärl | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.115 | 2.4.6 | Bottentömmande behållare | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.057 | 2.4.7 | Kärl 140-660 L 1,5-10 | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.060 | 2.4.7 | Kärl 140-660 L 10-20 | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.060 | 2.4.7 | Kärl 140-660 L 20-30 | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.140 | 2.4.7 | Avfallsport/dörr | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.114 | 2.4.7 | Låst dörr, med kod | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.098 | 2.4.8 | Kärl 140 l matavfall | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.102 | 2.4.8 | Kärl 190 l restavfall | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.102 | 2.4.8 | Kärl 370 l restavfall | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.102 | 2.4.8 | Kärl 660 l restavfall | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.115 | 2.4.8 | Bottentömmande behållare | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.131 | 2.4.9 | Sidlastande fordon | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.117 | 2.4.9 | Bottentömmande fordon | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.152 | 2.4.9 | Tömningsavgift per behållare | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.114 | 2.4.10 | Betalsäck | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.080 | 2.4.10 | Akutsäck | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.117 | 2.4.11 | Matavfallspåsar 9 L | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.115 | 2.4.11 | Matavfallspåsar 22 L | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.113 | 2.4.11 | Gravitationslås till kärl | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.103 | 2.4.11 | Extra nyckel till gravitationslås | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.089 | 2.5.1 | Kommunalt avfall | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.113 | 2.5.1 | Farligt avfall (ej uppmärkt) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.119 | 2.5.1 | Farligt avfall (uppmärkt) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.154 | 2.5.1 | Avisering av ankomst | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.095 | 3.1 | Upp till 3 m3 | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.089 | 3.1 | Mellan 3 m3 och 6 m3 | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.089 | 3.1 | Mellan 6 m3 och 9 m3 | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.113 | 3.1 | Tillägg per m3 över 9 m3 | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.100 | 3.1 | Bad-, disk- och tvättbrunn upp till 3 m3 | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.113 | 3.1 | Tillägg per m3 över 3 m3 | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.126 | 3.2 | Dragning av extra slang vid 5-25 m | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.125 | 3.2 | Dragning av extra slang vid 25-35 m | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.125 | 3.2 | Dragning av extra slang vid 36-45 m | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.125 | 3.2 | Dragning av extra slang vid 46-55 m | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.133 | 3.2 | Hantering av brunnslock som väger 15-25 kg | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.131 | 3.2 | Krav på information om tömningstid | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.140 | 3.2 | Krav på närvaro vid specificerad tömningstid | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.147 | 3.2 | Hantering av kod för kodlås vid slamtömning | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.113 | 3.2 | Hetvattentvätt med spolbil, timersättning | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.167 | 3.2 | Tömning av extra tank/brunn i samband med ordinarie/budad tömning upp till 5 m3 | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.134 | 3.3 | Budning inom ordinarie tömningsperiod (1 maj- 31 oktober) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.147 | 3.3 | Budning utanför ordinarie tömningsperiod (1 nov – 30 april) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.392 | 3.3 | Tömning av toalettvagnar eller liknande /styck | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.134 | 3.4 | Latrinbehållare 37 liter inkl. mottagning och behandling | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.107 | 4.1 | Filtermassor upp till 500 kg | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.091 | 4.1 | Filtermassor 500-1000 kg | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.132 | 4.2 | Krav på information om hämtningstid | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.122 | 4.2 | Krav på närvaro vid specificerad hämtningstid | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.142 | 4.2 | Hantering av kod för kodlås | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.095 | 5.1 | Upp till 3 m3 | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.089 | 5.1 | Mellan 3 m3 och 6 m3 | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.078 | 5.1 | Över 6 m3 | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.126 | 5.2 | Dragning av extra slang vid 5-25 m | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.125 | 5.2 | Dragning av extra slang vid 25-35 m | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.125 | 5.2 | Dragning av extra slang vid 36-45 m | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.125 | 5.2 | Dragning av extra slang vid 46-55 m | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.133 | 5.2 | Hantering av brunnslock som väger 15-25 kg | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.131 | 5.2 | Krav på information om tömningstid | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.140 | 5.2 | Krav på närvaro vid specificerad tömningstid | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.179 | 5.2 | Hantering av kod för kodlås vid tömning | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.113 | 5.2 | Hetvattentvätt med spolbil, timersättning | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.153 | 5.2 | Silikontätning per lock | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.182 | 5.2 | Tömning av extra tank i samband med ordinarie/budad tömning upp till 5 m3 | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.134 | 5.3 | Budning inom ordinarie tömningsperiod (1 maj- 31 oktober) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.153 | 5.3 | Budning utanför ordinarie tömningsperiod | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.117 | 6.1.1 | Verksamheter | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.121 | 6.1.1 | Övriga abonnemangstyper | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.095 | 6.1.1 | Vågkort | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.102 | 6.1.1 | Borttappat vågkort | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.084 | 6.1.1 | Ej redovisad ankomst till ÅVC (för företagare och privatpersoner som lämnar verksamhetsavfall utan att anmäla sin ankomst) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.094 | 6.1.1 | Ej redovisad eller fel redovisad fraktion av avfall | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.322 | 6.1.2 | Avfall till energiåtervinning (240 L sopsäck) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.164 | 6.1.2 | Avfall till energiåtervinning | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.112 | 6.1.2 | Skrymmande avfall till energiåtervinning större än 20×20×80 | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.145 | 6.1.2 | Träavfall – obehandlat, utan tapet, plastmatta, tjärpapp | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.147 | 6.1.2 | Träavfall – behandlat, utan tapet, plastmatta, tjärpapp | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.102 | 6.1.2 | Tryckimpregnerat virke, pall | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.124 | 6.1.2 | Betong, lättbetong | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.072 | 6.1.2 | Gips, gipsskivor | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.091 | 6.1.2 | Tegel | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.131 | 6.1.2 | Fönster- och planglas utan karm | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.119 | 6.1.2 | Fönster med karm | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.350 | 6.1.2 | Plast | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.127 | 6.1.2 | Isolering utan innehåll av asbest | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.114 | 6.1.2 | Klinker, keramik, porslin | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.305 | 6.1.2 | Handfat | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.284 | 6.1.2 | WC-stol | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.364 | 6.1.2 | Metall | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.087 | 6.1.2 | Textilier | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.095 | 6.1.2 | Fiskeredskap | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.087 | 6.1.2 | Ätbart fett/frityrolja | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.129 | 6.1.2 | Kvistar och grenar | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.061 | 6.1.2 | Jord | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.127 | 6.1.2 | Sten | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.144 | 6.1.2 | Stubbar/rötter för krossning | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.105 | 6.1.2 | Flera fraktioner för egen sortering på ramp (max 2 m³) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.095 | 6.1.2 | Osorterat avfall till sortering (ej innehåll av farligt avfall och elavfall) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.106 | 6.1.2 | Tonerkassetter, utan elektronik/chip | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.100 | 6.1.2 | Oljeemulsion, emballerat | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.140 | 6.1.2 | Förorenad olja innehållande PCB | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.117 | 6.1.2 | Oljeavskiljarslam | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.093 | 6.1.2 | Diesel | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.140 | 6.1.2 | Bensinrester | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.138 | 6.1.2 | Hydralslang, med/utan koppling | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.396 | 6.1.2 | Förpackningar, tömde ej rengjorda | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.125 | 6.1.2 | Oljeavfall, fast osorterat emba | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.109 | 6.1.2 | Absorbermedel, filtermaterial | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.100 | 6.1.2 | Oljefilter | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.076 | 6.1.2 | Bromsvätska | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.127 | 6.1.2 | Transformator, kondensator med PCB | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.056 | 6.1.2 | Fogskum | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.105 | 6.1.2 | Halon | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.075 | 6.1.2 | Koldioxid | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.137 | 6.1.2 | Brandsläckare | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.100 | 6.1.2 | Helium | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.100 | 6.1.2 | Tändare | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.112 | 6.1.2 | Syrgas | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.120 | 6.1.2 | Oxiderande fast ämne/vätska | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.084 | 6.1.2 | Klorex | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.115 | 6.1.2 | Aerosoler isocyanat, bekämpning | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.111 | 6.1.2 | Gasol inkl tub | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.102 | 6.1.2 | Gasol, blå programmet | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.129 | 6.1.2 | Giftig organisk vätska | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.122 | 6.1.2 | Småkemikalier, ej Hg-haltiga | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.127 | 6.1.2 | Giftig oorganisk vätska | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.122 | 6.1.2 | Oxidationsmedel, flytande | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.121 | 6.1.2 | Asbest, emballerat | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.143 | 6.1.2 | Smittförande avfall | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.127 | 6.1.2 | Lösningsmedel | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.121 | 6.1.2 | Väteperoxid | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.109 | 6.1.2 | Flourvätesyra | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.121 | 6.1.2 | Svavelsyra | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.134 | 6.1.2 | Salpetersyra | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.123 | 6.1.2 | Surt oorganisk fast ämne | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.125 | 6.1.2 | Surt organisk fast ämne | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.120 | 6.1.2 | Surt oorganisk vätska | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.122 | 6.1.2 | Surt organisk vätska | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.140 | 6.1.2 | Ammoniaklösning | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.122 | 6.1.2 | Alkaliskt avfall fast | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.126 | 6.1.2 | Basiskt organiskt fast/flytande | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.093 | 6.1.2 | Fotokemikalier | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.133 | 6.1.2 | Bekämpningsmedel aerosoler | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.135 | 6.1.2 | Bekämpningsmedel fast | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.125 | 6.1.2 | Bekämpningsmedel flytande | suggested=  | Ingen tillräckligt stark kunskapsträff.
